"","SiteID","Species","Group","germ.rate.total","surv.rate.total","estab.rate.total","germ.rate.total.logit","surv.rate.total.logit","estab.rate.total.logit","germ.rate.spring","surv.rate.spring","germ.rate.spring.logit","surv.rate.spring.logit","germination.total","potential.germ.total","survival.total","damage.any","canopy.cover.mean","elevation.m","TPI.30","TPI.gen","Slope","TRI.30","TRI.gen","aspect","aspect.gen","month","temp.soil.mean","temp.soil.min","temp.soil.max","temp.soil.se","temp.ground.mean","temp.ground.min","temp.ground.max","temp.ground.se","temp.air.mean","temp.air.min","temp.air.max","temp.air.se","date"
"409","CR11","psme","S",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",6,20.1133541666667,11.25,32.62,0.279635699264596,18.9977916666667,-0.06,43.56,0.676000457256803,15.8441458333333,-1.5,36.38,0.577377472902406,NA
"410","CR11","psme","S",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",7,20.0534442204301,10.31,34.62,0.107768591981716,18.7799865591398,0.62,46.69,0.244581290443998,16.5486794354839,-0.94,39,0.213774375269763,NA
"411","CR11","psme","S",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",8,18.8037130376344,8.69,32.88,0.104758893121115,16.987688172043,-0.94,46.38,0.223336349329042,15.4310315860215,-2.75,39.25,0.202340195641925,NA
"412","CR11","psme","S",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",9,14.8104861111111,9.5,23.81,0.10709805872953,14.2413802083333,1.12,39.62,0.301904168966743,13.2987326388889,-0.25,34.5,0.287029168620587,NA
"413","CR11","pico","W",0.12,0,0,-1.93377499824098,-4.77912349311153,-4.77912349311153,0.12,0.667,-1.93377499824098,0.682142290777538,6,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",6,20.1133541666667,11.25,32.62,0.279635699264596,18.9977916666667,-0.06,43.56,0.676000457256803,15.8441458333333,-1.5,36.38,0.577377472902406,NA
"414","CR11","pico","W",0.12,0,0,-1.93377499824098,-4.77912349311153,-4.77912349311153,0.12,0.667,-1.93377499824098,0.682142290777538,6,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",7,20.0534442204301,10.31,34.62,0.107768591981716,18.7799865591398,0.62,46.69,0.244581290443998,16.5486794354839,-0.94,39,0.213774375269763,NA
"415","CR11","pico","W",0.12,0,0,-1.93377499824098,-4.77912349311153,-4.77912349311153,0.12,0.667,-1.93377499824098,0.682142290777538,6,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",8,18.8037130376344,8.69,32.88,0.104758893121115,16.987688172043,-0.94,46.38,0.223336349329042,15.4310315860215,-2.75,39.25,0.202340195641925,NA
"416","CR11","pico","W",0.12,0,0,-1.93377499824098,-4.77912349311153,-4.77912349311153,0.12,0.667,-1.93377499824098,0.682142290777538,6,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",9,14.8104861111111,9.5,23.81,0.10709805872953,14.2413802083333,1.12,39.62,0.301904168966743,13.2987326388889,-0.25,34.5,0.287029168620587,NA
"417","CR11","psme","W",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,0,-3.54715129428523,-4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",6,20.1133541666667,11.25,32.62,0.279635699264596,18.9977916666667,-0.06,43.56,0.676000457256803,15.8441458333333,-1.5,36.38,0.577377472902406,NA
"418","CR11","psme","W",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,0,-3.54715129428523,-4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",7,20.0534442204301,10.31,34.62,0.107768591981716,18.7799865591398,0.62,46.69,0.244581290443998,16.5486794354839,-0.94,39,0.213774375269763,NA
"419","CR11","psme","W",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,0,-3.54715129428523,-4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",8,18.8037130376344,8.69,32.88,0.104758893121115,16.987688172043,-0.94,46.38,0.223336349329042,15.4310315860215,-2.75,39.25,0.202340195641925,NA
